time,motor.m1,motor.m2,motor.m3,motor.m4,
52132,0,0,0,0,
52232,0,0,0,0,
52332,0,0,0,0,
52432,0,0,0,0,
52532,0,0,0,0,
52632,0,0,0,0,
52732,0,0,0,0,
52832,0,0,0,0,
52932,0,0,0,0,
53032,0,0,0,0,
53132,0,0,0,0,
53232,0,0,0,0,
53332,0,0,0,0,
53432,0,0,0,0,
53532,0,0,0,0,
53632,0,0,0,0,
53732,0,0,0,0,
53832,0,0,0,0,
53932,0,0,0,0,
54032,0,0,0,0,
54132,0,0,0,0,
54232,36272,26890,29932,36746,
54332,62244,36418,4106,29024,
54432,14817,16021,53503,42867,
54532,32859,4939,34369,57125,
54632,34289,53079,30393,15727,
54732,39655,46101,42379,37641,
54832,43132,42048,40386,32090,
54932,42094,33810,55290,58154,
55032,38100,41772,49092,31904,
55132,29310,25370,27956,24988,
55232,27997,29973,35677,34489,
55332,41895,42389,35775,35645,
55432,38298,40966,39670,34942,
55532,54972,53752,34946,27690,
55632,2809,6309,40831,33819,
55732,64537,65535,44979,29095,
55832,65535,59979,65535,59677,
55932,61528,34570,43312,55050,
56032,24643,41519,40501,25605,
56132,34131,35981,32053,29819,
56232,39617,35703,36055,42737,
56332,37201,48595,45389,35191,
56432,42741,42765,42127,43087,
56532,40706,41738,46330,43762,
56632,44128,44270,44072,42718,
56732,48287,45127,38259,43043,
56832,37720,46574,51602,42044,
56932,42797,45323,43029,43799,
57032,49022,42498,37998,45266,
57132,40053,45469,46297,41193,
57232,61908,27162,25750,56536,
57332,34090,45078,49214,39590,
57432,43397,46183,42439,44201,
57532,44957,45443,33007,54321,
57632,29822,52216,55518,29584,
57732,47036,46098,43644,35826,
57832,52274,42378,38614,44558,
57932,38376,49772,53324,38348,
58032,42230,49424,48904,36406,
58132,46230,38482,44516,44440,
58232,49896,37896,42800,43032,
58332,38835,47439,47151,35527,
58432,50710,36968,37250,44528,
58532,42613,40501,44393,40129,
58632,44472,43298,40394,40108,
58732,51459,39069,37213,48019,
58832,47270,44248,40584,42310,
58932,40436,46254,48878,37832,
59032,48895,39213,40083,47033,
59132,47617,42787,44813,45503,
59232,27209,60827,55913,23999,
59332,58128,30144,37422,47574,
59432,33666,53772,44958,43568,
59532,39331,43025,64261,32023,
59632,60343,29671,55365,35785,
59732,41858,48398,47028,38916,
59832,39513,48361,44489,48049,
59932,51324,41680,32598,46038,
60032,37623,45911,48281,38093,
60132,45901,44475,41699,41061,
60232,44663,43077,42423,44701,
60332,37891,50439,50069,39077,
60432,45090,44702,45540,40248,
60532,48073,39225,38075,45163,
60632,40440,44264,40822,43414,
60732,45614,43562,37812,43868,
60832,41419,40945,40821,47183,
60932,48948,38564,34796,46548,
61032,38637,47573,49237,39281,
61132,48534,38754,36086,45834,
61232,46980,41302,37264,45402,
61332,36747,46903,48011,43311,
61432,49105,35647,35469,50327,
61532,58032,31840,26212,52912,
61632,41291,46749,47331,43225,
61732,42509,46121,45781,43933,
61832,56847,40551,34313,51221,
61932,38407,46583,52277,44761,
62032,44008,46618,45046,43120,
62132,46885,44547,40909,43499,
62232,33248,46934,52048,37402,
62332,44803,43991,38541,40133,
62432,43860,43796,44782,37934,
62532,40846,45200,48084,40482,
62632,47646,45278,39696,40112,
62732,41301,42215,44615,37837,
62832,41105,42615,47887,40929,
62932,47229,44509,40631,40403,
63032,38961,44339,47621,38215,
63132,43995,42579,44321,44369,
63232,48697,44237,40123,41435,
63332,40162,45932,47898,39452,
63432,46617,43387,42761,40403,
63532,43307,43895,44833,40377,
63632,37361,43497,47195,36291,
63732,41065,44847,44787,39089,
63832,22652,57316,56464,25596,
63932,51374,41140,32704,45102,
64032,38503,46363,49429,42289,
64132,38686,51584,55066,35940,
64232,51823,42131,40963,47699,
64332,43941,45037,48183,43751,
64432,49699,42919,43213,45877,
64532,50081,42179,38979,46557,
64632,42973,41097,43239,41107,
64732,43431,39577,42385,42947,
64832,45542,46020,39874,41784,
64932,45611,43453,38755,42725,
65032,47134,37684,40602,48140,
65132,48501,44093,39591,38891,
65232,43544,43480,38934,44534,
65332,41500,44868,44420,43632,
65432,47481,42953,39625,45597,
65532,46043,45375,46833,44253,
65632,43341,45119,41197,44339,
65732,48777,39151,37429,45995,
65832,39962,43870,46786,41534,
65932,46300,42148,38012,42704,
66032,41020,40348,40040,42704,
66132,57574,23866,25058,56882,
66232,37723,45847,49975,36651,
66332,47255,42333,41319,44301,
66432,58176,38060,37988,53188,
66532,41885,48509,54773,42441,
66632,48154,46410,45124,44560,
66732,43886,46048,46754,42372,
66832,42589,48015,47699,37157,
66932,45900,41386,41498,38556,
67032,39766,44196,47230,36796,
67132,43569,46477,45879,39039,
67232,44301,42605,43769,40205,
67332,39158,43618,49358,38242,
67432,47364,43856,42492,40440,
67532,45936,44928,42282,37706,
67632,42197,47081,47639,39147,
67732,51708,43996,40204,41996,
67832,41417,46599,46101,38967,
67932,40943,43391,45391,40419,
68032,46274,43096,43480,42426,
68132,38689,46373,47693,38101,
68232,42341,48337,44423,37907,
68332,46105,45411,42165,40179,
68432,21107,54303,58849,26513,
68532,49965,40627,35925,42503,
68632,42174,44514,46630,40050,
68732,35570,52884,54676,36826,
68832,55220,40996,39696,49508,
68932,42742,48858,50420,42992,
69032,48713,40269,44469,47697,
69132,49951,38279,39545,46709,
69232,42587,47439,42929,36521,
69332,47536,44786,38236,43482,
69432,44732,40154,40286,41720,
69532,47772,44086,38748,41126,
69632,46596,44158,43370,43436,
69732,42566,43906,43828,42876,
69832,46588,42426,38148,45246,
69932,45313,43799,39245,44075,
70032,44596,40626,36544,47506,
70132,43574,43086,39966,43958,
70232,45704,45624,43846,41678,
70332,48607,43331,44481,45301,
70432,44217,41331,42339,43693,
70532,43645,43785,41625,44421,
70632,42961,41549,37549,42669,
70732,56913,24077,21543,54239,
70832,35265,48607,47567,38001,
70932,40973,48243,42809,43319,
71032,61270,38818,29884,51624,
71132,35474,49346,53028,40596,
71232,47107,43641,42587,44585,
71332,47479,47117,44943,40301,
71432,36989,47317,52749,37097,
71532,45111,43723,45471,42895,
71632,41741,43255,43789,38283,
71732,34945,47103,50801,33555,
71832,43084,46530,41878,38612,
71932,43126,43396,43022,40576,
72032,38374,44680,47030,39412,
72132,43649,45445,42783,38063,
72232,43670,44558,40342,39414,
72332,35848,45448,50934,39266,
72432,47908,44944,40042,41354,
72532,42395,47569,41175,35669,
72632,37893,44559,47807,42093,
72732,49463,46623,40557,41809,
72832,38211,46407,48875,38763,
72932,38714,43904,49222,41120,
73032,27542,59050,54214,20190,
73132,45067,38771,38229,44277,
73232,38245,45095,49979,38137,
73332,32815,53509,55367,36389,
73432,53494,42672,37228,46662,
73532,42139,44895,49723,43791,
73632,45439,45835,49281,46193,
73732,52333,43771,38765,42011,
73832,47632,41942,39516,44678,
73932,41109,43359,46625,44423,
74032,44531,42113,43189,43459,
74132,42057,43639,41255,40841,
74232,39636,47210,45688,41802,
74332,41620,45508,44328,42300,
74432,42364,44654,41938,42768,
74532,44523,42945,42737,46435,
74632,45766,43972,41222,42188,
74732,46789,44023,40143,39977,
74832,45852,42392,42846,43894,
74932,40928,45214,45100,43142,
75032,46161,45515,39107,42709,
75132,45168,39332,42396,46464,
75232,42079,44771,42149,41233,
75332,59305,26175,23091,55493,
75432,33024,46198,49116,37194,
75532,51094,44894,36298,44590,
75632,53753,37693,36041,52421,
75732,32615,48185,58865,42599,
75832,52512,47928,37994,45874,
75932,40998,49726,49174,43410,
76032,36446,46058,50334,41434,
76132,42034,48142,43484,37996,
76232,41803,45041,45763,40317,
76332,41618,44642,45206,39722,
76432,41963,46839,46303,37667,
76532,42320,42028,44022,42250,
76632,40354,44882,41682,37634,
76732,39789,43883,44453,40207,
76832,47106,43788,39818,41892,
76932,40891,47257,48071,38325,
77032,45326,45580,43842,40448,
77132,43549,47619,46411,40589,
77232,41239,46885,49395,41673,
77332,42310,46330,45132,38908,
77432,44082,45678,43636,41076,
77532,43216,46484,43950,41678,
77632,22886,58066,54950,24598,
77732,50279,37063,33383,47947,
77832,35321,52033,52479,37455,
77932,38954,51674,52004,40104,
78032,51895,43555,37019,46147,
78132,40355,50341,50455,41401,
78232,45379,46929,45153,44335,
78332,49285,45907,40271,43385,
78432,42294,45146,45888,42760,
78532,42135,42083,42165,42029,
78632,43742,45208,43290,40848,
78732,44103,44121,43563,44733,
78832,43255,41337,40017,43867,
78932,42476,42946,41930,42468,
79032,45261,45035,40961,43547,
79132,45850,44924,40516,42830,
79232,42725,44349,41941,43125,
79332,46833,44517,40741,44989,
79432,43485,43757,40889,42981,
79532,41558,44688,41720,42298,
79632,42424,42142,39674,43804,
79732,43769,42651,41115,45113,
79832,43064,43770,40646,44232,
79932,54210,33508,27572,51886,
80032,38669,47723,46411,41501,
80132,44283,47191,45075,46507,
80232,53607,45237,36879,49049,
80332,37331,50911,49887,42299,
80432,44410,45184,42630,45592,
80532,47315,47021,42147,44905,
80632,40473,47445,45263,39863,
80732,41258,45174,41820,39052,
80832,44572,43968,40822,41414,
80932,43535,46063,44471,41731,
81032,42299,47773,44717,37147,
81132,43335,46543,45409,40337,
81232,42869,46291,44989,40199,
81332,40880,46788,46618,40066,
81432,44085,46443,43935,41725,
81532,41266,48206,45950,40126,
81632,42720,46210,42052,39186,
81732,43398,46020,42240,39122,
81832,42453,47313,44787,38919,
81932,45034,46990,46476,43152,
82032,44772,44620,44038,42570,
82132,40753,48067,47615,38769,
82232,27164,54974,57554,27052,
82332,49037,38231,35207,44809,
82432,38871,49987,49931,37599,
82532,41935,49705,49725,41935,
82632,49210,42414,40940,46820,
82732,41618,47490,52514,44358,
82832,49836,46196,45266,45522,
82932,47892,42620,40912,43176,
83032,44824,42974,41988,42782,
83132,48358,41974,41588,45968,
83232,43353,45485,46255,43235,
83332,45851,43253,43139,45269,
83432,44035,44423,43399,43587,
