time,motor.m1,motor.m2,motor.m3,motor.m4,
31613,37265,38027,42453,44443,
31713,36203,39377,43111,42093,
31813,41200,40480,37870,39450,
31913,38659,41807,41165,38477,
32013,38486,41626,43420,39204,
32113,38800,40558,42992,40706,
32213,39149,38181,41003,41043,
32313,38482,39966,41030,38882,
32413,37001,39263,42525,40111,
32513,35789,40209,44611,40115,
32613,41366,42324,39170,38500,
32713,41041,40733,39025,39713,
32813,36599,40129,44319,41353,
32913,38542,40870,41502,39878,
33013,40766,40644,39070,40036,
33113,39622,41480,40294,39624,
33213,37327,41385,42147,39521,
33313,38029,40579,42173,41603,
33413,39399,40357,40285,42451,
33513,40610,40016,39850,42792,
33613,37187,41119,43679,42171,
33713,38107,42787,41231,38443,
33813,38001,41255,41041,40255,
33913,38631,39873,41749,41351,
34013,37279,40627,43641,41057,
34113,37612,40778,42648,40914,
34213,39325,40321,41047,41091,
34313,39890,40226,40754,40582,
34413,39238,39620,41142,41408,
34513,36659,41711,44197,40933,
34613,38675,42193,40939,40673,
34713,41132,41858,37086,39860,
34813,35830,40560,41808,41510,
34913,35813,40611,41885,42479,
35013,35817,40677,41317,41705,
35113,38159,41251,39641,41797,
35213,38235,41107,40765,42961,
35313,36985,40211,41889,44331,
35413,38227,41613,40587,42789,
35513,38841,41287,38443,41309,
35613,37211,41721,39201,40411,
35713,38277,39477,39573,42713,
35813,39554,40226,39956,43456,
35913,39799,43225,40547,41321,
36013,37143,43281,40799,39417,
36113,37392,41278,40668,40978,
36213,36800,40514,41020,41794,
36313,38228,40818,40832,42810,
36413,38668,42118,40102,41832,
36513,39665,41849,38681,41665,
36613,38009,42079,40287,41693,
36713,38624,42146,39570,42384,
36813,36674,42684,40284,41762,
36913,39620,39632,37138,43922,
37013,38396,41138,38952,42794,
37113,37055,42393,40427,41413,
37213,38600,41140,39212,41568,
37313,37776,40568,41224,43040,
37413,37840,44114,41608,40050,
37513,42812,44938,35190,37864,
37613,42036,41858,36536,41630,
37713,36646,41320,42650,42300,
37813,34361,42505,44427,39795,
37913,38955,42025,40351,41297,
38013,42235,41173,37489,41811,
38113,37699,41335,41809,41277,
38213,38944,41308,40796,42052,
38313,39401,42005,40427,40659,
38413,39191,41409,39859,40917,
38513,38683,41049,40361,41963,
38613,38256,42386,40706,40516,
38713,37328,41238,40882,41540,
38813,35928,42006,40776,42126,
38913,39208,42674,37208,43586,
39013,40299,40719,37515,44307,
39113,38301,42215,39519,41809,
39213,36268,42392,40676,41364,
39313,36537,41371,42029,43555,
39413,37408,43886,41682,42012,
39513,38812,40800,39408,43384,
39613,39717,41693,37623,42059,
39713,36224,42088,40434,41518,
39813,36818,42984,40818,41728,
39913,40515,40501,37109,44087,
40013,37993,44009,40343,41611,
40113,35114,42930,42224,41616,
40213,35323,41915,41247,42727,
40313,39685,43081,38003,43103,
40413,38908,42186,37826,43492,
40513,35813,41005,40565,44281,
40613,37530,43002,40364,43104,
40713,36826,46348,40726,38844,
40813,37528,41848,40916,42936,
40913,36730,39928,41416,43954,
41013,37290,43338,40140,41396,
41113,37441,43595,39707,41373,
41213,39607,40821,38181,44607,
41313,37754,42748,39778,42596,
41413,36670,44578,41834,41794,
41513,39180,41538,38940,44250,
41613,38695,41725,39025,42859,
41713,37977,42707,40427,41377,
41813,38146,42426,40942,41910,
41913,39416,42606,39558,40864,
42013,39679,42479,40163,41563,
42113,37326,42548,41238,40472,
