time,stateEstimate.x,stateEstimate.y,stateEstimate.z,
55965,0,0,-0.0020650648511946,
56065,0,0,0.0047749625518918,
56165,0,0,0.0095526557415723,
56265,0,0,0.0108015891164541,
56365,0,0,0.0099452901631593,
56465,0,0,0.0089432718232274,
56565,0,0,0.0096703339368104,
56665,0,0,0.009620388969779,
56765,0,0,0.0103077571839094,
56865,0,0,0.0102931205183267,
56965,0,0,0.0093520274385809,
57065,0,0,0.0094193238765001,
57165,0,0,0.0107860993593931,
57265,0,0,0.0098641980439424,
57365,0,0,0.0102258985862135,
57465,0,0,0.0092880427837371,
57565,0,0,0.0084843104705214,
57665,0,0,0.0084248334169387,
57765,0,0,0.0077974935993552,
57865,0,0,0.0071466071531176,
57965,0,0,0.0089528048411011,
58065,0,0,0.0109707610681653,
58165,0,0,0.0072059636004269,
58265,0,0,0.0012077239807695,
58365,0,0,0.0104272300377488,
58465,0,0,-0.0239384733140468,
58565,0,0,-0.0629117712378501,
58665,0,0,0.0139112332835793,
58765,0,0,0.0920295417308807,
58865,0,0,0.1096672937273979,
58965,0,0,0.098520815372467,
59065,0,0,0.1282013058662414,
59165,0,0,0.0780619755387306,
59265,0,0,0.0294488668441772,
59365,0,0,-0.0332650654017925,
59465,0,0,0.0162879154086112,
59565,0,0,0.1153756976127624,
59665,0,0,0.1983525454998016,
59765,0,0,0.2480272352695465,
59865,0,0,0.2718472182750702,
59965,0,0,0.2718198597431183,
60065,0,0,0.262879878282547,
60165,0,0,0.2578580379486084,
60265,0,0,0.2613208889961242,
60365,0,0,0.2685607373714447,
60465,0,0,0.2889072895050049,
60565,0,0,0.3124408423900604,
60665,0,0,0.341055303812027,
60765,0,0,0.3708294034004211,
60865,0,0,0.3909375369548797,
60965,0,0,0.4063141942024231,
61065,0,0,0.4118177890777588,
61165,0,0,0.4130149483680725,
61265,0,0,0.4060269892215729,
61365,0,0,0.4055739045143127,
61465,0,0,0.4149396419525146,
61565,0,0,0.4424344897270202,
61665,0,0,0.4718171954154968,
61765,0,0,0.5137301087379456,
61865,0,0,0.558436393737793,
61965,0,0,0.6148806214332581,
62065,0,0,0.6667457222938538,
62165,0,0,0.7133269309997559,
62265,0,0,0.7605611085891724,
62365,0,0,0.7974719405174255,
62465,0,0,0.84063720703125,
62565,0,0,0.8817666172981262,
62665,0,0,0.9161140322685242,
62765,0,0,0.9260684251785278,
62865,0,0,0.92032790184021,
62965,0,0,0.914630115032196,
63065,0,0,0.8930298686027527,
63165,0,0,0.8594298362731934,
63265,0,0,0.8239251375198364,
63365,0,0,0.7818458676338196,
63465,0,0,0.7343404293060303,
63565,0,0,0.6863520741462708,
63665,0,0,0.6310070157051086,
63765,0,0,0.5847737193107605,
63865,0,0,0.544933021068573,
63965,0,0,0.5065904855728149,
64065,0,0,0.4873886704444885,
64165,0,0,0.4745039641857147,
64265,0,0,0.4854753613471985,
64365,0,0,0.5043462514877319,
64465,0,0,0.5386161804199219,
64565,0,0,0.5814060568809509,
64665,0,0,0.6262849569320679,
64765,0,0,0.6768029928207397,
64865,0,0,0.7246497273445129,
64965,0,0,0.767294704914093,
65065,0,0,0.8083449006080627,
65165,0,0,0.8390478491783142,
65265,0,0,0.8704917430877686,
65365,0,0,0.9020178318023682,
65465,0,0,0.9140133857727052,
65565,0,0,0.9140397906303406,
65665,0,0,0.8952924013137817,
65765,0,0,0.8683188557624817,
65865,0,0,0.8287537693977356,
65965,0,0,0.7851388454437256,
66065,0,0,0.7467958331108093,
66165,0,0,0.7036579251289368,
66265,0,0,0.6576393842697144,
66365,0,0,0.6130303740501404,
66465,0,0,0.5615731477737427,
66565,0,0,0.5181117653846741,
66665,0,0,0.4756953716278076,
66765,0,0,0.4498950541019439,
66865,0,0,0.4437961876392364,
66965,0,0,0.4525982737541199,
67065,0,0,0.4822409749031067,
67165,0,0,0.5194696187973022,
67265,0,0,0.5601821541786194,
67365,0,0,0.6045737862586975,
67465,0,0,0.649249792098999,
67565,0,0,0.68733149766922,
67665,0,0,0.7190524935722351,
67765,0,0,0.7563042044639587,
67865,0,0,0.7899037599563599,
67965,0,0,0.8228726983070374,
68065,0,0,0.8586198687553406,
68165,0,0,0.8854807615280151,
68265,0,0,0.8981655836105347,
68365,0,0,0.8983275294303894,
68465,0,0,0.8741831183433533,
68565,0,0,0.8429468274116516,
68665,0,0,0.8057946562767029,
68765,0,0,0.7501989603042603,
68865,0,0,0.6957418322563171,
68965,0,0,0.6492573022842407,
69065,0,0,0.5991271734237671,
69165,0,0,0.5482766628265381,
69265,0,0,0.5049366354942322,
69365,0,0,0.465887188911438,
69465,0,0,0.4373249411582947,
69565,0,0,0.4266444742679596,
69665,0,0,0.4310760200023651,
69765,0,0,0.4562265872955322,
69865,0,0,0.4990572929382324,
69965,0,0,0.5425432920455933,
70065,0,0,0.5940407514572144,
70165,0,0,0.64518803358078,
70265,0,0,0.6873166561126709,
70365,0,0,0.7266830205917358,
70465,0,0,0.7579283118247986,
