time,motor.m1,motor.m2,motor.m3,motor.m4,
33510,42763,44905,45541,40367,
33610,42970,43278,45830,42210,
33710,40621,42321,46371,43419,
33810,42292,43872,45906,41362,
33910,45648,44516,42038,40458,
34010,43351,41693,44057,44567,
34110,40195,42019,47783,44951,
34210,43863,45201,43869,40443,
34310,42519,42919,44371,42147,
34410,38902,40464,45904,43218,
34510,40770,43406,43148,39720,
34610,43548,43478,40576,39758,
34710,41311,41315,43375,43659,
34810,40137,42443,46841,44591,
34910,42755,46491,44755,41491,
35010,43382,46276,44568,42054,
35110,41698,44544,46694,44112,
35210,44677,44727,43213,42979,
35310,42453,43641,45653,44577,
35410,40772,42018,45126,43620,
35510,41730,42874,42592,40936,
35610,42879,43167,42417,41397,
35710,40480,43286,44994,44416,
35810,42139,41969,43935,42993,
35910,47686,45570,38996,39564,
36010,38453,41761,47517,43821,
36110,39683,42561,46387,42369,
36210,46900,46590,38816,38242,
36310,39702,43958,46510,41702,
36410,40729,43859,44965,42895,
36510,45091,44981,40267,40905,
36610,42261,44769,44423,41991,
36710,41975,42689,44877,44071,
36810,41894,46126,47106,41798,
36910,42412,43954,44352,42998,
37010,40873,44319,44617,41051,
37110,42746,42802,41596,42068,
37210,44967,44347,40783,41711,
37310,39791,44687,47951,42291,
37410,42068,43852,43430,42274,
37510,46124,43362,38130,41600,
37610,41807,43745,43961,41775,
37710,40517,45145,45699,43455,
37810,46908,46158,38348,40990,
37910,39621,47269,46837,41049,
38010,40705,44505,44527,42611,
38110,44732,43202,39702,43400,
38210,39283,43817,43389,42859,
38310,39137,42741,44979,42303,
38410,42339,45439,42251,40303,
38510,40785,44561,43569,40741,
38610,41777,44669,42661,41473,
38710,44859,45213,41087,41765,
38810,39904,44904,46086,42618,
38910,41987,45043,43809,41629,
39010,43808,43660,41626,42302,
39110,39674,45424,45690,40204,
39210,42477,44081,42955,40163,
39310,43489,44171,43355,41453,
39410,40298,44826,47066,42102,
39510,42336,44756,45312,42492,
39610,43509,43881,44181,44329,
39710,37948,45258,48362,41336,
39810,40269,43715,44577,42415,
39910,43641,44029,42255,41563,
40010,41185,43981,44759,43547,
40110,39972,44106,45508,41954,
40210,42548,44594,42910,41592,
40310,41959,44249,43815,41545,
40410,40128,44118,46112,41070,
40510,41013,43807,44937,41207,
40610,41995,43915,45217,42785,
40710,44014,44236,43560,42306,
40810,40282,45330,48284,41744,
40910,42402,45118,45024,42280,
41010,43205,42755,43105,44339,
41110,43244,45384,43288,40692,
41210,42050,45080,44022,39972,
41310,42018,44508,44064,41530,
41410,42510,43782,43146,41990,
41510,42249,45267,42891,40093,
41610,42875,43621,41745,40807,
41710,41042,43350,45258,43418,
41810,42067,45063,44769,41417,
41910,43897,45031,42871,41713,
42010,40610,45124,44880,40454,
42110,40296,45816,45554,40642,
42210,41566,45282,44192,42344,
42310,42381,43259,43127,42161,
42410,41193,43915,45133,41843,
42510,39129,42631,45303,43789,
42610,44492,45056,40278,39314,
42710,41751,44971,43205,40937,
42810,40175,43693,45611,42445,
42910,43803,44939,43115,41059,
43010,42959,43935,43691,41395,
43110,40589,44285,45631,41303,
43210,41964,42966,44484,41786,
43310,43147,43527,42689,41177,
43410,41419,45149,44669,40131,
43510,41797,44119,44649,39979,
43610,42001,43765,45029,40897,
43710,44488,44334,43104,42274,
43810,43768,44920,43064,39792,
43910,41643,43009,44813,41479,
44010,41905,42211,44189,41807,
44110,38881,42107,47961,41687,
44210,41805,45211,45529,39543,
44310,46159,46117,41307,39401,
44410,44806,44006,43150,41934,
44510,36751,43947,50529,43137,
44610,45609,43549,43467,41775,
44710,45519,44787,42387,41043,
44810,41165,45801,46263,39075,
44910,40708,43032,44204,40948,
45010,41845,40717,43467,43507,
45110,41364,45376,43778,39082,
45210,44930,43604,40906,42664,
45310,41762,43022,43972,42412,
45410,38397,44679,48095,40025,
45510,44066,44752,42642,40552,
45610,44502,43750,43178,43154,
45710,40181,45077,47247,42563,
45810,39622,43936,46992,42766,
45910,41982,44892,44188,40754,
46010,42931,45605,42033,40123,
46110,41772,43284,43568,43004,
46210,41481,43821,43385,42741,
46310,41574,44326,42242,42158,
46410,43338,46114,40516,40668,
46510,43521,46315,41261,41267,
46610,41516,45302,43608,43874,
46710,42608,45248,42214,43546,
46810,44266,46414,41830,43010,
46910,40851,45359,43681,42713,
47010,41643,44711,42431,43351,
47110,41303,45167,42643,43927,
47210,42440,47472,42830,43790,
47310,42878,46624,43270,45392,
47410,42173,47899,41105,42911,
47510,41190,47064,41212,43318,
47610,41191,46173,40585,43891,
47710,38872,46418,39858,42104,
47810,37976,46224,40794,42806,
47910,37944,46696,41144,42688,
48010,38175,47857,40125,44755,
48110,40434,47702,40568,44148,
48210,39058,47476,41508,45142,
48310,40361,46667,40517,45959,
48410,42470,48288,39558,44584,
48510,40277,45973,40437,46129,
48610,41237,47457,40899,43951,
48710,41122,47938,42676,44436,
48810,41450,48684,43894,43628,
48910,39482,47936,43286,42676,
49010,42184,44982,38554,43396,
49110,39337,46245,40603,41075,
49210,39757,45155,41185,45015,
49310,37863,48857,43531,43793,
49410,41430,46822,41014,44930,
49510,41906,48420,42034,45084,
49610,39731,47387,42927,45415,
49710,40162,45904,42332,46906,
49810,40691,48529,42705,44727,
49910,40738,46768,40994,47124,
50010,38823,43949,43157,45903,
50110,38953,47191,41013,42939,
50210,41110,48724,40224,43506,
50310,41448,48960,40802,44314,
50410,41890,48524,40404,44362,
50510,41143,46927,41429,45101,
50610,41808,47806,39952,43450,
50710,39690,47146,40398,44458,
50810,38961,46933,40647,44771,
50910,38875,47139,39591,44559,
51010,37333,49021,40027,43727,
51110,38686,48076,39596,43598,
51210,39445,47977,39689,45545,
51310,37744,47660,41716,46620,
51410,38151,48917,42295,46541,
51510,39920,48618,39904,45514,
51610,37925,47517,39917,46301,
51710,37734,47862,40800,45844,
51810,37978,50352,41382,44948,
51910,38822,50976,41174,45388,
52010,39911,48909,41349,47363,
52110,38264,48302,40256,46162,
52210,38924,48566,37580,44498,
52310,36762,49300,40000,44754,
52410,36093,47475,40543,45625,
52510,39023,48803,39273,46705,
52610,39357,49765,38533,45005,
52710,38548,48460,39818,47218,
52810,36122,49594,40568,45212,
52910,37855,48997,37563,46221,
53010,35756,48526,40296,46862,
53110,35250,50600,40074,44176,
53210,35249,50863,39919,44113,
53310,35989,46033,38803,47059,
53410,32438,48404,40860,44678,
53510,37157,49207,36903,44869,
53610,35967,49597,38741,45011,
53710,37077,47433,38511,47827,
53810,37216,48354,39156,48590,
53910,36876,50374,40040,46350,
54010,34226,50142,41616,46356,
54110,35451,48083,41339,49007,
54210,36710,50042,40292,46544,
54310,38551,51323,37941,44405,
54410,40852,50328,35240,45680,
54510,37488,46908,39428,47864,
54610,39267,48819,38621,47237,
54710,40328,49836,38136,46700,
54810,36466,49870,40100,46296,
54910,39558,49576,36466,46476,
55010,35829,50623,39685,45459,
55110,33608,49422,41682,46500,
55210,36078,49452,40648,48226,
55310,37881,50893,39737,46625,
55410,37626,50868,38866,44800,
55510,36217,49993,39251,43183,
55610,35708,49816,40652,44708,
55710,37172,48612,38610,45830,
55810,36972,47510,38516,46302,
55910,36467,49411,39765,46237,
56010,38672,50732,37592,44236,
56110,37255,49517,40707,46389,
56210,40592,49518,37712,46718,
56310,36252,49172,42272,47128,
56410,38217,49045,38435,45943,
56510,35889,48451,39371,44821,
56610,37556,50140,38664,44884,
56710,39092,49072,38662,46298,
56810,38393,47889,40671,46551,
56910,40430,51026,40784,44184,
57010,42639,48705,39009,45003,
57110,38616,48698,42354,42280,
57210,41056,47798,41862,42704,
57310,40232,48154,44454,42716,
57410,39938,47510,45102,43466,
57510,41141,47261,43479,44063,
57610,41280,45968,42250,42246,
57710,41055,46817,41629,43183,
57810,40323,46513,41663,46165,
57910,41592,47920,42098,41754,
58010,41548,46640,41342,40934,
58110,39904,45392,43018,41470,
58210,40581,45245,41783,42543,
58310,42555,45705,39919,42257,
58410,42159,45107,40409,43689,
58510,43221,48383,41603,41737,
58610,42698,47226,41840,43584,
58710,42451,47847,43677,44141,
58810,43078,49956,40158,43408,
58910,43749,47193,42029,43981,
59010,40781,44613,42017,46153,
59110,45784,46800,37084,43648,
59210,42016,47910,39910,42808,
59310,40723,48097,41563,43733,
59410,43185,48615,38967,43009,
59510,39738,48660,42018,41900,
59610,43381,48313,40099,44879,
59710,39408,49258,42866,43608,
59810,39741,48159,41037,42799,
59910,41206,48602,39932,43276,
60010,42415,48287,40457,43645,
60110,43104,50244,41064,43020,
60210,40905,50437,42831,43091,
60310,42556,50278,42462,43632,
60410,40542,47560,41884,43738,
60510,40368,47854,42448,42818,
60610,43579,48357,39339,43061,
60710,40376,48062,44838,40748,
60810,37423,47041,45737,42299,
60910,41805,47251,41341,41475,
61010,43307,46337,39939,41101,
61110,41281,45503,42081,42483,
61210,41971,45981,42997,41691,
61310,40934,45574,46044,42620,
61410,43508,47620,45816,40764,
61510,44371,47009,45017,41459,
