time,motor.m1,motor.m2,motor.m3,motor.m4,
21721,0,0,0,0,
21821,0,0,0,0,
21921,0,0,0,0,
22021,0,0,0,0,
22121,0,0,0,0,
22221,0,0,0,0,
22321,0,0,0,0,
22421,0,0,0,0,
22521,0,0,0,0,
22621,0,0,0,0,
22721,0,0,0,0,
22821,0,0,0,0,
22921,0,0,0,0,
23021,0,0,0,0,
23121,0,0,0,0,
23221,0,0,0,0,
23321,0,0,0,0,
23421,0,0,0,0,
23521,0,0,0,0,
23621,0,0,0,0,
23721,36526,36572,36662,35888,
23821,38441,36709,28587,31755,
23921,37463,38343,37043,31439,
24021,41239,31949,34379,38781,
24121,31870,34806,39370,34602,
24221,34477,39161,39973,29889,
24321,36107,45055,35641,43005,
24421,35802,34126,40222,43010,
24521,29545,43249,36455,23599,
24621,53219,31865,32815,38097,
24721,44759,44689,50485,35207,
24821,39583,41087,42411,38327,
24921,38478,43456,29808,28634,
25021,43243,34007,33429,40141,
25121,45061,55903,52983,39765,
25221,49667,45819,45329,44589,
25321,49479,44595,41857,44677,
25421,42820,46530,43190,40112,
25521,42166,42344,43456,43426,
25621,43256,39880,39652,42704,
25721,39179,45489,31933,24159,
25821,43679,41313,40607,41733,
25921,44955,42335,44051,43855,
26021,46743,43903,43815,42295,
26121,44953,45101,43105,39985,
26221,39971,41587,44265,40105,
26321,41941,41269,38939,37991,
26421,40627,39855,40675,38451,
26521,41732,39800,41060,38420,
26621,44251,41643,39591,37223,
26721,42774,39792,42808,41414,
26821,41684,42928,45006,39334,
26921,45134,41754,40932,40588,
27021,44831,43555,41873,39749,
27121,42798,41894,44826,42206,
27221,45407,43289,43003,40565,
27321,45317,42469,43283,41371,
27421,44390,41602,43840,41188,
27521,43732,43542,43750,39504,
27621,43370,43442,43450,39978,
27721,43289,41789,42417,40417,
27821,41844,42136,43518,40766,
27921,44907,42693,40425,40271,
28021,44032,41830,41144,41926,
28121,41841,44121,42781,40241,
28221,43498,41266,41398,43602,
28321,43839,43199,41779,41935,
28421,43350,44632,43000,40938,
28521,44660,42108,42124,43056,
28621,43844,42008,42454,42190,
28721,42668,45054,42818,39132,
28821,45008,43562,41236,40214,
28921,43705,39721,41963,42971,
29021,41404,43454,42872,38766,
29121,44042,42820,41632,40234,
29221,44171,42159,41605,41569,
29321,43192,42372,42954,40350,
29421,43794,43570,42626,39822,
29521,44215,41997,43057,42467,
29621,42852,41680,44228,42032,
29721,44606,41964,42164,40566,
29821,43476,43296,44006,41022,
29921,41704,42498,45098,41764,
30021,44264,43868,40336,40044,
30121,44499,42801,40757,40407,
30221,41153,38793,44595,44019,
30321,44091,41139,41689,41645,
30421,44003,42615,42365,41473,
30521,44186,43688,41564,40522,
30621,40091,42801,45495,40685,
30721,42187,41827,44221,41637,
30821,44336,43674,42770,40632,
30921,42844,44432,43148,39680,
31021,42073,43209,44105,40981,
31121,43782,42906,43060,41604,
31221,46747,42803,39859,41263,
31321,42847,41835,44213,42373,
31421,42281,42311,43579,41533,
31521,44532,43186,41002,40920,
31621,43245,40729,42919,42447,
31721,44040,42784,41844,41404,
31821,41369,43369,43041,39685,
31921,41985,41737,43305,42277,
32021,42642,43208,43404,41962,
32121,43450,44058,42864,41068,
32221,44836,40706,41960,43346,
32321,44467,41017,41715,42849,
32421,42756,43728,42242,39490,
32521,42196,41472,44192,42172,
32621,42828,43058,42794,40360,
32721,44642,43040,41616,40650,
32821,41316,42842,45244,41062,
32921,41115,42649,44653,41391,
33021,43264,41552,42350,42158,
33121,42645,42145,43427,40719,
33221,41896,42916,43744,40000,
33321,44005,42297,41593,40189,
33421,44799,44537,42177,39419,
33521,44107,40657,42645,43615,
33621,44031,41483,44077,42285,
33721,42261,44859,45081,38347,
33821,44087,42825,42485,39879,
33921,44270,40340,43136,42930,
34021,42964,42006,43772,40718,
34121,44292,43384,41836,39220,
34221,46025,42667,41911,40701,
34321,42130,43674,44586,40318,
34421,42902,43336,44366,41700,
34521,42989,43707,43915,41161,
34621,42744,41852,44440,44036,
34721,42180,44634,43970,40848,
34821,44930,40302,40346,43810,
34921,44378,43258,40558,40642,
35021,40430,45614,44204,37972,
35121,42527,42055,41141,41721,
35221,43124,39206,39694,45816,
35321,39529,43627,44379,40597,
35421,45079,43955,39397,40789,
35521,43306,44248,40904,40978,
35621,41732,43332,42804,42344,
35721,42437,41641,42583,43059,
35821,43200,43098,42010,40940,
35921,42944,41740,41980,42696,
36021,41511,40277,43027,43557,
36121,42828,43276,40924,40520,
36221,42157,41811,41993,42263,
36321,43306,41338,40974,43130,
36421,41943,46281,43623,39885,
36521,42080,45146,43678,40580,
36621,45136,38446,41136,46502,
36721,43162,43722,43544,40100,
36821,42613,47079,43921,37603,
36921,45888,38746,40862,44400,
37021,42086,42094,43362,40306,
37121,42830,44206,43160,39016,
37221,44210,39626,41732,43388,
37321,45008,43938,42422,40536,
37421,44586,43704,43502,41240,
37521,44012,43968,44724,42544,
37621,43868,43326,44396,41542,
37721,45226,41308,41900,41578,
37821,43506,42124,42528,39294,
37921,44717,40367,42925,40887,
38021,45393,40533,42969,40993,
38121,44311,40763,42317,39985,
38221,42742,42612,43326,39644,
38321,43931,41459,41481,41209,
38421,42439,42407,43663,42291,
38521,43412,44168,43002,42246,
38621,43800,44594,42222,42248,
38721,42682,40402,42952,45576,
38821,43506,42938,42628,43788,
38921,43362,41984,41934,43332,
39021,43318,42076,41606,42420,
39121,42870,44564,43242,40696,
39221,42222,42846,42794,42202,
39321,43590,43396,39986,41216,
39421,41933,40491,42163,44309,
39521,42392,43340,41534,42342,
39621,43244,43570,40878,42000,
39721,42109,43317,42509,42541,
39821,42857,41873,42275,44171,
39921,43943,42485,42059,42637,
40021,43139,43211,43503,42595,
40121,43048,41308,43198,43958,
40221,45856,41372,41958,41562,
40321,44605,41007,41909,42595,
40421,41588,41606,45626,38576,
40521,43468,40996,44096,39352,
40621,45493,41239,45075,40617,
40721,45216,41774,45462,39812,
40821,47015,43487,42833,37833,
40921,49187,40867,39275,41951,
41021,44349,42743,46157,39355,
41121,43881,44035,43087,42337,
41221,45011,43695,41383,41379,
41321,45448,41298,40730,41520,
41421,42951,44985,43491,36037,
41521,42895,41545,41121,41683,
41621,44741,40683,41489,39239,
41721,43156,44074,43652,36222,
41821,47545,41893,40889,39105,
41921,45131,42081,42187,40969,
42021,46145,44037,42059,39819,
42121,47322,43976,40400,40738,
42221,41523,44443,44581,40481,
42321,43850,44038,42720,40792,
42421,46879,43003,39989,40909,
42521,43188,43436,42770,39530,
42621,42386,45104,42408,37362,
42721,44378,41902,40762,40874,
42821,42474,44914,42992,36180,
42921,43289,40867,40315,40421,
43021,42803,43095,42179,40007,
43121,43840,43828,41518,41398,
43221,43241,45075,42679,39193,
43321,42171,43023,44193,40973,
