time,motor.m1,motor.m2,motor.m3,motor.m4,
9801,0,0,0,0,
9901,0,0,0,0,
10001,0,0,0,0,
10101,0,0,0,0,
10201,0,0,0,0,
10301,0,0,0,0,
10401,0,0,0,0,
10501,0,0,0,0,
10601,0,0,0,0,
10701,0,0,0,0,
10801,0,0,0,0,
10901,0,0,0,0,
11001,0,0,0,0,
11101,0,0,0,0,
11201,0,0,0,0,
11301,0,0,0,0,
11401,0,0,0,0,
11501,0,0,0,0,
11601,0,0,0,0,
11701,0,0,0,0,
11801,0,0,0,0,
11901,37321,33335,35803,35641,
12001,40782,35066,34052,34812,
12101,17666,41688,55986,31972,
12201,36430,7074,41270,65535,
12301,36741,35709,41909,36433,
12401,48178,41008,38316,37510,
12501,50231,59325,65535,45209,
12601,35041,48457,46719,39239,
12701,28751,37381,27849,35119,
12801,13287,39555,21871,25391,
12901,31633,28857,29811,32539,
13001,37897,48885,41935,41471,
13101,42138,43950,55440,47580,
13201,34641,2999,34641,65535,
13301,43777,45285,37635,26083,
13401,36656,47638,54858,45124,
13501,55236,65535,65535,59252,
13601,38603,35417,33079,37337,
13701,19525,34205,20123,29879,
13801,21750,34084,28840,27158,
13901,37359,40245,37239,36073,
14001,44850,45990,44838,43254,
14101,45065,50895,51987,47897,
14201,47143,48913,44093,44455,
14301,39507,45741,38657,34195,
14401,40882,43344,43742,42312,
14501,44632,45138,49060,46130,
14601,43414,47022,49352,43512,
14701,40058,48728,46506,38400,
14801,39420,40512,43334,39350,
14901,40870,42702,40010,37434,
15001,38618,43624,43506,39672,
15101,41452,44852,44242,40002,
15201,41129,43407,46143,42717,
15301,41269,43313,45377,43073,
15401,41169,46145,43489,39649,
15501,41304,43454,43120,41794,
15601,40661,43867,43199,41381,
15701,39402,44904,45550,40748,
15801,40797,44777,45127,41903,
15901,42457,44595,43101,41003,
16001,41310,42264,44276,44586,
16101,42553,44337,43993,42649,
16201,43917,43517,42823,43047,
16301,41487,44679,44955,41783,
16401,41870,42958,44202,42902,
16501,39943,44875,46051,40863,
16601,43647,45079,42507,40487,
16701,42328,42956,43992,43288,
16801,40940,43694,44596,42398,
16901,41172,43366,43922,41932,
