time,motor.m1,motor.m2,motor.m3,motor.m4
66994,52358,40698,44938,34470
67094,46202,49698,52828,28080
67194,48766,43814,48308,35276
67294,48968,39174,48816,41834
67394,48309,44219,50727,37409
67494,48066,43046,47898,36254
67594,47368,38248,48616,41632
67694,45190,39760,50560,39922
67794,54375,46657,45543,26033
67894,53995,37265,55151,35601
67994,52094,29672,59318,42808
68094,59492,44942,50066,25248
68194,49654,45396,46726,39320
68294,44541,42939,51709,42987
68394,65522,36318,24442,60770
68494,42247,61865,48267,36021
68594,50007,42591,33977,51813
68694,42953,54313,33033,53181
68794,30065,64367,37203,45065
68894,32235,62385,34909,43879
68994,39700,53292,34978,45062
69094,37743,50211,45363,40939
69194,34032,45084,51952,40604
69294,51595,41355,37267,45355
69394,26765,49645,58275,41259
69494,53856,41018,51744,32754
69594,61329,32153,53271,33967
69694,58950,36210,57710,31674
69794,57871,29103,65535,29613
69894,55556,33314,60986,32216
69994,51656,42306,40980,44850
70094,44525,42259,51347,34325
70194,40554,41862,57992,33576
70294,48855,35409,48629,39591
70394,43376,41998,51194,29916
70494,43511,46575,51305,26025
70594,48271,39425,47581,37667
70694,39831,49957,51103,34505
70794,50840,50272,37842,36994
70894,43672,45464,46354,44962
70994,47081,49687,44449,42495
71094,45258,53774,45610,36898
71194,52081,40361,42339,48267
71294,48722,44424,47628,39882
71394,65535,27825,28729,52119
71494,47523,38891,45965,38849
71594,43063,40419,51267,31955
71694,48238,45774,45542,30446
71794,43834,44540,50904,33942
71894,52179,41835,41619,36543
71994,44374,46470,52278,32302
72094,46648,46704,51108,34576
72194,52935,42389,43885,38039
72294,43465,43417,50105,34753
72394,48154,50442,50212,31512
72494,54800,42012,44398,40330
72594,52064,40714,45500,40666
72694,45924,45376,51310,36402
72794,53826,41750,42468,39256
72894,49927,38981,45837,41799
72994,46818,46808,48804,33430
73094,42154,47508,51062,31444
73194,48293,39869,45211,39483
73294,52002,46008,42308,33194
73394,38733,47011,57859,37141
73494,50161,40799,40803,45517
73594,46445,46699,44701,41895
73694,42555,48879,47293,41141
73794,48780,47566,42810,44156
73894,45486,46146,45548,44912
73994,44143,48799,45397,41097
74094,40795,44925,49055,44961
74194,46962,44568,43644,45826
74294,39774,49012,46546,38972
74394,38778,46078,45192,38372
74494,45314,44106,40630,42698
74594,41452,46502,44372,41082
74694,37617,47935,44125,43447
74794,39033,59069,37427,42535
74894,38239,56537,38723,47481
74994,35510,53378,42676,48092
75094,39772,53032,39882,47226
75194,52197,46387,41429,45735
75294,41247,48315,50381,41409
75394,39135,46643,52513,40737
75494,43067,43069,51981,38139
75594,41629,41697,51603,36291
75694,45532,41890,46842,34964
75794,43145,39893,48701,33289
75894,51167,32821,44511,43633
75994,40000,48296,56458,28110
76094,51558,51918,48142,29830
76194,43748,41048,55668,42904
76294,48626,45438,50654,35150
76394,49614,50332,50772,31922
76494,46465,40489,51365,41293
76594,43921,52269,52387,26303
76694,48605,42423,48585,37099
76794,47676,40632,49070,38226
76894,47289,43545,50603,37551
76994,45868,46678,51662,33940
77094,49966,48968,48726,29144
77194,48975,38637,46857,40743
77294,46711,47383,47495,30711
77394,46931,45521,48425,34323
77494,49737,38861,45301,40253
77594,49235,38447,47027,41323
77694,46252,49118,50062,30008
77794,47699,46411,46491,38295
77894,52913,43125,42251,45823
77994,46755,50761,44711,41685
78094,47027,49265,46379,44305
78194,46209,46669,45093,44733
78294,38348,51374,46336,35586
78394,41419,46247,44751,41339
78494,42259,43853,43091,44037
78594,43047,49889,41107,38037
78694,38311,45481,47295,42981
78794,42268,45114,45290,43764
78894,49899,46233,40197,45195
78994,44341,46021,46799,45743
79094,39131,52855,50735,38295
79194,48069,43777,41501,46545
79294,45532,42756,40706,45194
79394,39219,54039,49685,35133
79494,46760,46772,43670,43954
79594,46460,42452,43028,48116
79694,47750,44668,44218,43500
79794,51160,38482,44884,43930
79894,46803,42775,48337,39985
79994,45190,41422,51190,35226
80094,51211,37175,49131,38595
80194,45142,41868,56430,33444
80294,32368,59010,29924,55494
80394,23873,65535,32449,52117
80494,29429,60877,26235,58359
80594,25503,65535,25825,51195
80694,26708,64636,26300,61708
80794,27330,65535,23484,60984
80894,47717,45137,51439,37331
80994,53154,42904,45660,38890
81094,49066,51964,50692,33782
81194,51967,45195,49019,41595
81294,48923,47685,46057,35695
81394,41536,49308,50210,33962
81494,52506,45878,43486,41150
81594,43351,48541,50603,37257
81694,43614,47208,51782,39864
81794,47515,45499,42265,38297
81894,38125,51823,54547,35433
81994,50241,44507,42017,40955
82094,40731,51471,52267,34055
82194,44391,43651,49185,42849
82294,45253,47419,46555,36849
82394,44974,49254,50666,30710
82494,47203,45199,50613,33209
82594,45330,43324,58636,35498
82694,50882,48168,52148,32382
82794,48210,40846,53738,39110
82894,49901,46965,48573,33513
82994,48518,41480,48612,39606
83094,49399,44581,46779,34501
83194,46773,40747,49319,39057
83294,46111,43255,47219,33883
83394,47994,41604,46080,35654
83494,50643,43479,47869,37353
83594,47348,45512,49242,33642
83694,50873,43609,52341,41117
83794,52761,42355,47205,37379
83894,49595,42447,49385,38185
83994,51664,43044,46430,36322
84094,46132,44046,54474,37376
84194,52389,42505,46171,37991
84294,45983,42299,48249,38329
84394,42322,44228,47668,43082
84494,44025,47109,45115,40239
84594,42042,45356,50070,44276
84694,47608,47338,44368,43910
84794,44761,47929,49719,45227
84894,41594,48174,51314,44498
84994,46145,47467,44537,41735
85094,42187,46483,48743,40895
85194,45119,46875,42405,40101
85294,39457,46873,48327,40443
85394,43975,47429,44765,39723
85494,42917,44113,42677,39689
85594,39115,47663,45623,35383
85694,45329,48167,43173,40591
85794,44928,47494,46628,41694
85894,41879,45621,49325,43471
85994,45430,53164,45514,37836
86094,46776,47260,46136,44628
86194,47609,46553,43771,44851
86294,39321,47301,50467,44435
86394,43993,48123,43001,40259
86494,42529,50609,43725,47233
86594,34779,53517,39103,48565
86694,35556,55060,34738,52486
86794,35393,56851,34299,51997
86894,29493,53965,39069,51865
86994,34503,53057,36789,53123
87094,40407,54535,38909,53597
87194,34473,51509,42195,54495
87294,38005,53923,42901,52027
87394,41774,49462,43230,55522
87494,36899,56835,49775,52583
87594,51566,45224,55448,46006
87694,49487,44539,57923,46019
87794,49564,50136,54376,42780
87894,46070,46316,51576,43478
87994,40684,47382,50408,37934
88094,42541,43887,46595,41025
88194,37612,50104,36826,43050
88294,28921,57423,34545,44963
88394,32147,52731,28359,55555
88494,31682,46286,52962,39770
88594,44690,42932,43744,40874
88694,41636,47752,53924,40400
88794,46826,48378,49928,44220
88894,38451,52703,46219,41199
88994,40207,49399,50877,39697
89094,47672,47218,46300,43438
89194,40703,49313,49779,36901
89294,40802,47170,48558,40398
89394,39418,48668,47964,39154
89494,40734,47654,37062,41354
89594,28684,54162,43880,43278
89694,33417,57105,39939,46983
89794,30847,52901,40743,48009
89894,37392,51004,35038,49034
89994,34809,51043,39121,47775
90094,39481,51043,36203,48281
90194,40620,49992,39708,52696
90294,37010,56826,45248,47288
90394,39922,51596,44310,50172
90494,40360,50098,42512,51550
90594,40218,49698,42914,50198
90694,39511,49095,50229,43497
90794,41941,43219,49333,42435
90894,39880,47784,50838,38806
90994,40760,55724,39278,45778
91094,35471,50601,48481,43527
91194,42456,43202,45858,40668
91294,38791,48897,51007,35653
91394,42253,48629,50413,39157
91494,42088,45744,43436,36804
91594,37085,54369,51525,33693
91694,49751,47847,42593,43285
91794,26462,42764,62984,45386
91894,51116,52930,39458,36520
91994,40448,55958,54086,38460
92094,42290,49532,44796,42098
92194,46150,52012,40366,39304
92294,41663,48525,46813,44507
92394,43059,53341,44147,39629
92494,42777,38485,39005,47337
92594,31887,58849,45855,24305
92694,46315,49587,41533,42897
92794,42819,47653,49947,47585
92894,39166,55946,52800,37996
92994,48740,48888,40328,43092
93094,41148,44806,45208,43614
93194,39648,45592,46620,41668
93294,50178,47212,36470,39996
93394,35954,50530,52078,36842
93494,45195,45055,42197,42797
93594,46301,45837,41649,42849
93694,43122,50134,46706,39618
93794,43528,46452,45810,43458
93894,43966,45652,45660,45094
93994,44768,48470,46058,42984
94094,43050,48242,49270,45986
94194,48347,44671,42981,48289
94294,46451,45287,42695,44771
94394,45717,43115,44679,47053
94494,51088,46628,42138,45846
94594,49313,49487,44203,43017
94694,47057,37751,39807,49429
94794,42519,44951,46925,45401
94894,52046,46540,38698,44628
94994,53994,43558,35262,47610
95094,48000,45952,45628,49404
95194,53364,48108,45802,55814
95294,57057,49873,38247,51775
95394,45614,40334,36736,46740
95494,42372,41444,34768,43004
95594,43229,34435,35173,50499
95694,44795,40635,33045,41493
95794,40254,34144,40622,49456
95894,49450,40152,35426,45060
95994,47040,37970,37238,46552
96094,42065,36195,43945,49979
96194,53862,43222,35528,48292
96294,46984,42132,49408,55512
96394,56163,49277,42201,51211
96494,49997,48289,47555,50615
96594,49596,41934,41862,50176
96694,42514,46836,43768,42114
96794,42056,42164,38576,42816
96894,42039,43513,40235,40705
96994,38789,41283,40871,40149
97094,44824,41928,35082,41646
97194,43078,47004,39806,42684
97294,45360,52754,42200,41466
97394,51590,51542,39742,47510
97494,49366,47070,44922,53262
97594,51332,48386,41544,50010
97694,46051,53535,44729,42277
97794,49025,45021,42533,49737
97894,44220,50530,45412,40238
97994,42627,47523,44191,41447
98094,47798,42590,39832,46624
98194,45042,42544,39760,43894
98294,46483,46483,38271,40995
98394,45347,46087,40807,42759
98494,44788,48160,46168,43168
98594,44743,47663,47909,44881
98694,46334,51956,48318,42524
98794,41508,48004,50856,45000
98894,41866,45640,44342,40124
98994,44442,54020,44608,33958
99094,46758,48100,48636,45978
99194,37309,50703,56157,40883
99294,44299,49733,47915,40709
99394,46053,48889,45723,39899
99494,36595,49317,52715,38493
99594,48309,46639,36691,37173
99694,38613,48947,47439,34581
99794,42631,43109,42687,39897
99894,39414,54014,42628,24900
99994,44044,41354,42414,42456
100094,42781,52913,49111,37607
100194,42535,47383,51899,39103
100294,45503,40277,58349,38875
100394,52655,43577,51877,30003
100494,50714,41408,57066,33592
100594,51509,42873,52721,33253
100694,52180,43024,50040,32640
100794,50262,39712,49766,33480
100894,50304,43524,49206,30194
100994,50719,44351,50361,31349
101094,51030,43960,50240,32202
101194,53146,45114,50842,34066
101294,50303,44971,52589,32713
101394,51503,44457,51181,32883
101494,50439,45947,51131,30219
101594,52551,45469,50497,32167
101694,50975,43649,51785,34731
101794,50307,45217,51255,31813
101894,48726,49634,47504,36676
101994,52248,46580,37310,43122
102094,37103,51743,52667,40883
102194,47717,49397,42193,42621
102294,44905,50219,43985,40179
102394,41726,47888,50698,43768
102494,46361,47533,44305,40025
102594,35242,52548,53526,40032
102694,41930,54906,36612,48076
102794,25378,55920,38986,49188
102894,30669,55649,36437,52409
102994,32441,53823,37343,51949
103094,32602,50894,39376,49564
103194,38528,46610,43552,48266
103294,42462,43718,51108,42660
103394,44416,52302,58050,37612
103494,42796,50874,56054,38208
103594,39244,48236,58132,39500
103694,39097,54501,47117,45289
103794,41565,54117,40473,45781
103894,31997,60739,41893,42455
103994,31322,49922,36224,53028
104094,26838,56068,41228,48402
104194,33655,55095,40029,52617
104294,37171,51941,38365,54451
104394,36929,56073,44681,51125
104494,40301,49313,42909,55353
104594,50442,46122,56934,40686
104694,48627,44291,60085,40557
104794,50614,46204,56286,42892
104894,46025,50185,56881,42629
104994,47049,48491,51135,44977
105094,41120,49652,46400,36380
105194,40995,47881,45163,34745
105294,42378,42052,43612,38834
105394,44619,44825,42607,36909
105494,38527,48559,47403,34887
105594,50319,38949,37189,47463
105694,40179,46189,47037,40331
105794,44887,49561,46333,41155
105894,45132,49958,46084,41250
105994,37742,49432,54104,44550
106094,49074,48742,40316,43312
106194,39300,52990,41938,45584
106294,35667,58829,35519,52937
106394,31602,57696,35334,52292
106494,32543,56561,34515,51941
106594,38614,44576,39462,47712
106694,45648,44620,44280,37224
106794,40557,42211,53495,42745
106894,44210,47870,55120,45492
106994,47853,50571,48905,41867
107094,35891,52877,48797,43779
107194,38440,52530,35816,46206
107294,29257,54813,42375,43471
107394,42308,52194,40086,50082
107494,39754,49124,44534,47760
107594,39752,57274,44408,44606
107694,36743,49155,43391,49719
107794,37984,51628,39902,47830
107894,37751,49153,38893,49451
107994,34576,46638,41550,51508
108094,44677,48333,41271,42747
108194,43102,54984,55178,47852
108294,49770,55766,52802,53194
108394,49616,58710,53244,48786
108494,48659,57959,53281,51601
108594,48604,58080,52080,50368
108694,51904,60464,47814,47850
108794,44700,54426,51964,51534
108894,42723,51201,44403,46261
108994,43058,40212,36830,45692
109094,34520,42972,41388,33324
109194,38349,38507,33577,33699
109294,38657,42651,40699,35849
109394,36507,42397,35951,30241
109494,39031,40373,37913,36219
109594,39815,43323,36267,31475
109694,42213,40275,41477,30087
