time,motor.m1,motor.m2,motor.m3,motor.m4,
16370,0,0,0,0,
16470,0,0,0,0,
16570,0,0,0,0,
16670,0,0,0,0,
16770,0,0,0,0,
16870,0,0,0,0,
16970,0,0,0,0,
17070,0,0,0,0,
17170,0,0,0,0,
17270,0,0,0,0,
17370,40498,40166,31162,29914,
17470,39288,48070,38528,28070,
17570,40495,46069,45833,39271,
17670,36130,34128,48704,47890,
17770,52054,42020,40288,44246,
17870,49084,44898,35748,37622,
17970,40850,47228,41186,36708,
18070,28287,53853,48511,25761,
18170,35490,37526,37934,39406,
18270,47131,46079,49843,52607,
18370,55642,52056,52502,55588,
18470,52185,51747,52453,50919,
18570,52374,41302,43048,52012,
18670,43683,35097,39853,45451,
18770,44737,37231,37137,43819,
18870,38855,45169,41183,33021,
18970,39086,41300,42540,39186,
19070,39642,39096,41056,39910,
19170,43016,40854,39372,39666,
19270,39911,41113,41959,38929,
19370,41312,43274,40066,38180,
19470,40638,43474,45176,43036,
19570,44890,48550,43438,41578,
19670,45474,44040,45346,46924,
19770,44289,42345,46241,48721,
19870,45622,40760,43688,48734,
19970,40890,42920,45724,44578,
20070,40401,45559,44855,41277,
20170,43635,45947,40025,39721,
20270,42078,42870,41338,42450,
20370,42781,41251,42621,45475,
20470,57543,28771,28227,57803,
20570,56941,29129,29413,57685,
20670,40981,44555,47689,43403,
20770,44392,44932,45394,43650,
20870,46024,42842,42502,44940,
20970,39764,46104,47740,40700,
21070,45540,38788,40668,46072,
21170,42077,42409,42335,42003,
21270,39750,43126,45040,40320,
21370,48260,39470,38676,46414,
21470,40203,45355,47691,39387,
21570,43748,42936,45392,43072,
21670,29612,55186,59196,30190,
21770,45393,42227,42927,43721,
21870,43920,44772,42268,43396,
21970,29566,24160,56208,63050,
22070,53163,40713,33613,47731,
22170,36245,49423,47783,35521,
22270,42642,40812,43826,46716,
22370,47251,43833,39819,45185,
22470,35493,47951,49995,39141,
22570,43515,41913,41475,45001,
22670,42817,41325,39907,43363,
22770,29304,51634,49204,30810,
22870,46610,33210,32044,50380,
22970,33288,36920,42134,47966,
23070,25424,55712,46398,37302,
23170,32081,46189,38207,48503,
23270,40340,46048,26718,54434,
23370,14958,63904,50694,34108,
23470,21437,55687,49489,36947,
23570,37350,54106,39112,31840,
23670,26541,49021,44551,45887,
23770,41034,45396,26020,53498,
23870,14745,58021,48865,41841,
23970,25643,51819,38993,49797,
24070,28989,49601,38001,52441,
24170,31518,55502,35594,44406,
24270,33114,46232,45548,45306,
24370,37486,49100,33954,51860,
24470,31088,47294,39040,53218,
24570,30653,52657,39905,50305,
24670,51930,41820,38344,42722,
24770,38963,43727,42181,44981,
24870,46407,40779,39859,42547,
24970,39745,43261,45961,40749,
25070,41368,47604,45148,37400,
25170,40805,45627,43243,44193,
25270,46533,41591,48891,38021,
25370,38774,49910,43408,45596,
25470,37883,51359,36217,50225,
25570,47316,40116,53216,33296,
25670,33020,52678,34182,52384,
25770,33938,50998,33502,49878,
25870,40248,40694,47066,37524,
25970,36764,45328,46538,41346,
26070,42660,46940,43796,45708,
26170,44171,49059,44303,44191,
26270,46963,48689,51763,44001,
26370,43970,49464,49690,45756,
26470,46320,50246,48794,42928,
26570,39830,46266,47184,39584,
26670,39011,40793,41021,40195,
26770,33010,40902,40556,33976,
26870,30694,40824,38746,32364,
26970,33583,39591,35857,35641,
27070,33419,41161,41507,36409,
27170,33756,41902,40924,36474,
27270,34836,40506,42570,36516,
27370,35180,44192,46554,38322,
27470,44825,44057,46439,35895,
27570,48507,40957,48885,39079,
27670,44903,41675,51717,34817,
27770,50705,42351,50121,31559,
27870,45989,43347,49089,38203,
27970,53387,37617,55839,32905,
28070,50394,39044,49320,30570,
28170,40961,42385,43503,40103,
28270,42768,40356,44148,35448,
28370,44887,42141,47073,27439,
28470,41036,40436,40748,38288,
28570,44844,38654,46002,29012,
28670,49317,40117,51757,25657,
28770,43555,41985,45541,43027,
28870,46351,41077,52571,34897,
28970,51221,40939,52547,30889,
29070,44521,38667,48547,36333,
29170,45831,42061,48955,29165,
29270,41788,44816,45728,31292,
29370,42517,46707,47621,43019,
29470,37403,49257,46305,45775,
29570,37786,46972,44536,37170,
29670,49879,30347,55231,23327,
29770,30007,53695,41369,41197,
29870,43412,44128,47268,36620,
29970,46696,35376,51126,31906,
30070,40237,44687,44489,37451,
30170,38649,44047,42465,39103,
30270,35053,41265,41415,39079,
30370,35171,46567,44301,38085,
30470,37047,46061,42933,39067,
30570,37876,45484,43978,41142,
30670,39197,43265,42507,42691,
30770,36418,46312,45866,39860,
30870,37449,44101,42447,39427,
30970,36243,44831,44709,39605,
31070,37136,43308,45990,38570,
31170,42803,41017,43771,39213,
31270,43197,42203,52673,34387,
31370,45163,40367,51517,31309,
31470,47092,37684,48206,34178,
31570,45446,40798,51300,33144,
31670,45857,43509,46265,36809,
31770,43042,43730,45560,39084,
31870,44035,44029,44171,37273,
31970,43514,44100,47032,32962,
32070,48685,36101,49341,31417,
32170,45006,41386,44918,32846,
32270,41504,46154,43232,38886,
32370,43281,44773,46565,38761,
