time,motor.m1,motor.m2,motor.m3,motor.m4,
8831,0,0,0,0,
8931,0,0,0,0,
9031,0,0,0,0,
9131,0,0,0,0,
9231,0,0,0,0,
9331,0,0,0,0,
9431,0,0,0,0,
9531,0,0,0,0,
9631,0,0,0,0,
9731,0,0,0,0,
9831,0,0,0,0,
9931,0,0,0,0,
10031,0,0,0,0,
10131,0,0,0,0,
10231,0,0,0,0,
10331,0,0,0,0,
10431,0,0,0,0,
10531,0,0,0,0,
10631,0,0,0,0,
10731,0,0,0,0,
10831,0,0,0,0,
10931,29168,35828,34096,28260,
11031,40037,42767,29407,31989,
11131,37217,42533,37305,41249,
11231,23571,49769,45759,21361,
11331,43882,36004,32908,44946,
11431,29502,49346,44362,25498,
11531,28954,21298,25096,37392,
11631,26100,30336,33344,28772,
11731,31766,46748,43992,30214,
11831,42628,30818,30832,39370,
11931,34725,37583,40523,36377,
12031,37823,32715,35675,43887,
12131,36878,46948,52268,44026,
12231,41897,31687,44509,56363,
12331,39901,40677,42905,47189,
12431,44304,40660,23924,39960,
12531,26202,42162,39254,36054,
12631,36436,44638,37670,39932,
12731,37329,38475,36091,42665,
12831,37298,42368,43784,46426,
12931,42078,45460,41456,46898,
13031,37914,45672,42658,42224,
13131,35645,37277,43121,46357,
13231,37883,39281,38417,38927,
13331,34785,39957,40045,37453,
13431,35491,37755,39065,39621,
13531,36981,38241,40335,39791,
13631,36587,41421,42591,40201,
13731,39874,41132,41296,42778,
13831,42478,42890,42028,42388,
13931,38679,44307,43591,43043,
14031,38159,42295,43889,46173,
14131,37603,43593,44503,42353,
14231,39723,41527,41265,43341,
14331,36375,42079,43637,43465,
14431,38700,43770,42728,40634,
14531,39323,40521,41515,44613,
14631,36460,41960,42502,43002,
14731,36280,40972,42480,42448,
14831,41834,44256,37726,38932,
14931,37597,40945,42527,42175,
15031,37728,39418,43512,44914,
15131,39618,43744,40912,41850,
15231,38900,41976,42190,42206,
15331,36289,38949,45515,46043,
15431,42093,44489,39609,39921,
15531,40314,43426,42446,39862,
15631,38213,38561,44535,45683,
15731,38451,44789,45335,37633,
15831,41891,45123,41261,38349,
15931,37866,36372,45016,46370,
16031,39152,41160,44286,41210,
16131,41123,45933,38969,37599,
16231,37621,41211,43897,41979,
16331,39005,38797,44133,44637,
16431,38320,43572,41476,41280,
16531,39077,44051,43083,40681,
16631,40792,39828,42914,45022,
16731,41377,40521,43011,44847,
16831,38677,44191,45559,40909,
16931,40997,42719,43855,42453,
17031,41203,38885,42565,44611,
17131,38577,42565,42779,41607,
17231,39433,42407,43083,43485,
17331,39261,43353,42611,42583,
17431,39171,39845,44111,44421,
17531,37370,39130,45662,44162,
17631,39487,45189,41741,40451,
17731,40218,43646,43140,41068,
17831,40227,37877,43603,44765,
17931,41285,40741,42971,42587,
18031,40390,43318,43614,39894,
18131,40494,40976,42304,42594,
18231,40953,39527,42617,42139,
18331,40564,42184,45868,39712,
18431,42126,38526,43362,43418,
18531,41739,40165,43855,43965,
18631,40369,42071,45353,41411,
18731,40077,42031,44367,41385,
18831,39551,43007,44105,43021,
18931,38992,41914,44780,44770,
19031,39463,42187,43209,42761,
19131,39210,41670,43330,42738,
19231,39474,39978,42310,42970,
19331,38425,41585,43615,40271,
19431,38521,42285,43591,41235,
19531,39046,40516,43526,43792,
19631,39172,42784,44320,41536,
19731,40132,41818,42878,41636,
19831,41883,41913,42953,42067,
19931,40984,40688,44122,43406,
20031,39997,43939,43885,41023,
20131,41448,42884,43308,41376,
20231,39253,39715,44493,43543,
20331,40481,42719,44315,40165,
20431,40423,44101,40645,39455,
20531,38671,41419,43443,41511,
20631,38881,41995,41553,41475,
20731,40789,42351,41211,41509,
20831,38734,41098,41326,44806,
20931,37256,43720,44868,42320,
21031,41141,43073,42489,41885,
21131,40954,41204,42120,45518,
21231,39483,44299,44367,41515,
21331,40933,42183,43155,41905,
21431,40316,39094,42024,44482,
21531,37576,44226,45022,38868,
21631,38583,41371,41771,43611,
21731,39898,40632,41344,43118,
21831,38857,42049,42773,41657,
21931,39905,40695,44453,43343,
22031,41222,40450,46104,44180,
22131,42581,43537,47313,40809,
22231,41425,42771,46019,40957,
22331,40979,40733,46313,41339,
22431,39072,42442,44546,41536,
22531,39278,43410,42494,41018,
22631,42121,41517,39245,41541,
22731,41337,41265,41395,43031,
22831,38713,42543,44965,39787,
22931,40661,41009,44853,41273,
23031,41763,42289,44619,39509,
23131,42221,41339,43997,40835,
23231,40274,42084,45466,40072,
23331,41181,40647,44727,40213,
23431,40096,39352,45888,41144,
23531,41549,42251,43905,40535,
23631,39984,41982,45646,42404,
23731,40264,43872,44820,40372,
23831,40285,42947,43405,41487,
23931,37074,40650,46622,45202,
24031,40479,43739,44503,42615,
24131,42139,47775,42705,39153,
24231,38140,39914,46172,44658,
24331,39318,38278,45798,43470,
24431,43222,43860,41280,39358,
24531,42533,41775,43083,39729,
24631,39449,38945,45723,40987,
24731,41367,40209,44517,39031,
24831,42310,39906,43288,40328,
24931,40011,39673,44887,41485,
25031,41266,39692,44466,41608,
25131,41788,43930,43470,38776,
25231,41772,39416,44524,42928,
25331,41019,42899,44213,40897,
25431,42477,40895,42195,42705,
25531,40359,40551,46195,42167,
25631,40766,43786,46332,41240,
25731,42172,42152,45670,43210,
25831,40627,40885,46141,41427,
25931,40002,41402,43780,42252,
26031,40882,41928,42874,40952,
26131,37737,42237,44595,39715,
26231,37799,37747,43249,44473,
26331,39811,41407,42697,40089,
26431,38535,41595,43259,41871,
26531,38542,39954,44372,43712,
26631,40257,41551,43109,42775,
26731,40072,44786,43468,42090,
26831,41680,41570,45560,43702,
26931,40796,39672,43666,44438,
27031,41376,45488,43792,38136,
27131,42066,38982,42934,45482,
27231,41633,40395,42367,43825,
27331,36838,46328,42652,38882,
27431,36577,42599,44883,39989,
27531,39318,43498,41136,40724,
27631,40639,43907,42899,40167,
27731,40234,39784,42518,42500,
27831,38960,42404,41052,42064,
27931,41396,43506,41510,40424,
28031,38674,41442,44172,43452,
28131,40993,39241,45177,44229,
28231,41954,43264,43644,40290,
28331,41067,40365,45243,41585,
28431,39789,39195,46095,45297,
28531,42799,40821,44119,43633,
28631,38891,39621,45413,44475,
28731,43503,40369,42187,40833,
28831,42680,40556,41654,41434,
28931,39601,39577,42721,41721,
29031,38466,41020,42878,41748,
29131,37525,41085,42605,43937,
29231,38974,44110,40810,41614,
29331,39113,42871,41039,43909,
29431,36614,40416,44038,45516,
29531,37682,40176,43264,44810,
29631,40133,40479,41495,44809,
29731,38246,42186,45054,44222,
29831,36778,40592,43832,44654,
29931,40667,41371,43123,41175,
30031,37717,40767,45053,42131,
30131,38527,40427,44419,44819,
30231,39215,41415,43579,42427,
30331,37318,42304,44434,41384,
30431,39657,41545,42865,41069,
30531,39048,41482,42506,42076,
30631,39292,42768,45162,40334,
30731,39631,41705,45915,41909,
30831,40631,43453,45235,42181,
30931,42277,42643,44807,41121,
31031,40995,39737,45227,43317,
31131,41866,42808,44376,38426,
31231,40816,43286,44062,39344,
31331,36896,37958,46052,44302,
31431,39858,39490,46006,40486,
31531,41591,41427,43335,38619,
31631,40034,40668,45094,40172,
31731,39446,41802,44614,40582,
31831,37621,41179,46809,42627,
31931,37334,40802,46302,43118,
32031,39054,43622,44688,40104,
32131,41675,40155,43329,42709,
32231,38809,41033,43087,44283,
32331,40445,40899,44235,42785,
32431,42256,41556,41008,42796,
32531,40951,45159,40261,40265,
32631,37154,42252,43412,42938,
32731,34763,37113,43725,50275,
32831,38775,43685,40577,41151,
32931,38499,43929,39981,41859,
33031,36581,40419,42587,46449,
33131,39842,41590,39446,44914,
33231,37131,45729,42309,42367,
33331,38830,42836,41090,43000,
33431,38366,44176,41644,42294,
33531,36480,43592,43834,41594,
33631,41365,42751,40525,42471,
33731,39860,43138,42248,42310,
33831,36198,40624,45564,44758,
33931,38385,42497,41611,42399,
34031,39015,44997,40943,41805,
34131,37698,41950,42322,44458,
34231,35697,44067,44221,42311,
34331,38534,41436,41604,44726,
34431,38483,43315,41405,42637,
34531,37917,43097,42913,41829,
34631,39683,41737,42101,42807,
34731,38851,41541,42931,42997,
34831,39513,41921,42473,42945,
34931,39139,42107,43027,42731,
35031,39848,41912,41642,41918,
35131,37640,43924,42606,39930,
35231,38729,42963,43421,40227,
35331,40854,39636,42730,41896,
35431,41592,41576,42490,42946,
35531,41808,42548,45222,39914,
35631,40598,40432,45958,41640,
35731,41753,39101,43805,43609,
35831,40919,42521,42553,39363,
35931,38516,45096,43678,39082,
36031,41314,38108,44184,45302,
36131,40075,40933,45367,40693,
36231,36305,44131,46261,37835,
36331,40077,40657,41433,41637,
36431,40236,43036,41574,43354,
36531,36989,44331,46465,40759,
36631,40023,38539,42237,46021,
36731,38052,41014,42766,43840,
36831,35410,42380,47262,41452,
36931,40191,41377,43153,44767,
37031,42177,45959,41187,40793,
37131,36038,41416,47728,43310,
37231,38180,39330,45710,43460,
37331,41151,44589,41979,40361,
37431,39226,42746,45696,40044,
37531,35183,39357,45949,43587,
37631,39104,43470,39738,41568,
37731,40589,43235,42637,39515,
37831,38949,40015,45385,44287,
37931,40865,41893,44643,43703,
38031,42437,46495,43123,40661,
38131,37915,39625,47319,45721,
38231,37372,39344,45870,44030,
38331,40733,43735,43399,40125,
38431,40547,41689,42621,41411,
38531,37347,40043,45939,43463,
38631,36994,43706,44024,39964,
38731,41152,45624,40190,37178,
38831,38830,36026,45196,44352,
38931,39603,42141,43203,40761,
39031,42426,43118,43846,39930,
39131,41571,41335,45071,41367,
39231,39789,41027,45983,43257,
39331,41540,44708,45404,38812,
39431,42099,41813,44807,41389,
39531,39988,39102,46114,42952,
39631,39393,41343,45801,41431,
39731,41684,42794,43546,38680,
39831,37938,39180,46882,42912,
39931,37817,37279,45277,43059,
40031,38714,40790,43020,40192,
40131,40642,41750,42636,39552,
40231,41151,40651,44753,40429,
40331,41207,39581,43287,42197,
40431,38959,40337,44569,44923,
40531,39734,42122,44548,40716,
40631,40090,42870,43532,40096,
40731,39916,41564,42962,42890,
40831,40170,43240,43640,41526,
40931,42185,44809,41217,41225,
41031,40304,43522,40302,41584,
41131,38987,40881,43873,42831,
