time,motor.m1,motor.m2,motor.m3,motor.m4,
10421,0,0,0,0,
10521,0,0,0,0,
10621,0,0,0,0,
10721,0,0,0,0,
10821,0,0,0,0,
10921,0,0,0,0,
11021,0,0,0,0,
11121,0,0,0,0,
11221,0,0,0,0,
11321,0,0,0,0,
11421,0,0,0,0,
11521,0,0,0,0,
11621,0,0,0,0,
11721,0,0,0,0,
11821,0,0,0,0,
11921,0,0,0,0,
12021,0,0,0,0,
12121,0,0,0,0,
12221,0,0,0,0,
12321,0,0,0,0,
12421,0,0,0,0,
12521,26771,35813,32813,30323,
12621,28445,42531,32605,19995,
12721,32455,43893,35557,7155,
12821,33350,52182,28044,10652,
12921,38405,22037,34749,20845,
13021,28929,28791,37481,21359,
13121,35000,33592,38480,33656,
13221,32467,38837,46017,40363,
13321,34067,53395,50379,50335,
13421,51758,31650,26208,42328,
13521,12192,38194,27882,38352,
13621,41425,33801,26837,32449,
13721,29325,44143,39713,47383,
13821,36071,47065,21497,63947,
13921,36627,45075,46571,40903,
14021,36665,43541,40493,45985,
14121,49725,36227,51781,46647,
14221,41834,44372,41814,44344,
14321,35192,41010,51672,46942,
14421,41816,33290,29242,40792,
14521,37979,41739,42845,38773,
14621,33126,44086,39170,42546,
14721,36855,40009,39277,40999,
14821,39636,34950,35738,43636,
14921,39336,40704,39422,33002,
15021,36009,37829,41005,37161,
15121,37352,35464,40438,41658,
15221,43232,39040,37580,38156,
15321,36760,42532,41592,39620,
15421,39694,40322,42070,43974,
15521,42173,39971,39927,44425,
15621,37644,39528,44170,42094,
15721,39824,40254,41312,41502,
15821,39363,39821,40979,41661,
15921,38053,40191,42403,41497,
16021,36944,40548,42254,42774,
16121,38871,40333,40787,41961,
16221,37986,40088,40278,42932,
16321,38199,39025,39513,43443,
16421,37286,41316,41598,42248,
16521,38317,42485,39711,40767,
16621,37692,40958,40650,43312,
16721,36894,41784,41122,42276,
16821,37324,41710,41702,43340,
16921,37541,39317,41091,44439,
17021,37650,41636,40106,42128,
17121,38773,42391,39441,42015,
17221,38347,42871,38727,42299,
17321,39002,40886,38610,41602,
17421,37854,38952,40754,44268,
17521,39826,41466,38964,41400,
17621,39593,43193,38675,40607,
17721,35379,37827,43345,46433,
17821,37633,39261,42025,44093,
17921,36888,42310,42366,40472,
18021,39347,39915,41439,42755,
18121,39879,39765,41019,42761,
18221,38000,42006,43160,41310,
18321,37223,38927,43365,43921,
18421,39894,39508,40612,41794,
18521,38967,40913,41809,40231,
18621,37697,40029,41869,41361,
18721,37962,40512,42668,42482,
18821,37154,37542,41946,46346,
18921,35917,40191,43311,44029,
19021,40499,42183,40417,41477,
19121,39178,40842,41508,43268,
19221,38335,38709,42807,45021,
19321,39338,41394,42076,43104,
19421,37963,40715,41507,43235,
19521,40248,38128,40038,45802,
19621,37608,38022,43246,45776,
19721,37874,41268,42992,42338,
19821,37598,40748,42076,41802,
19921,39880,40678,40064,41062,
20021,38297,40625,41187,42123,
20121,38605,38787,42269,43831,
20221,40737,40329,42131,42359,
20321,39978,40390,44606,43166,
20421,39127,40381,43781,43439,
20521,40799,40973,41587,41421,
20621,37830,39194,43884,42952,
20721,38790,38842,42530,43642,
20821,40624,41806,40460,40406,
20921,39942,39820,42622,42340,
21021,36512,38382,44988,43606,
21121,40009,40115,41545,42471,
21221,41987,41255,39615,41139,
21321,36326,40264,46222,43200,
21421,40250,38296,42216,44250,
21521,39666,41396,41680,41638,
21621,38879,43109,42595,40749,
21721,39126,37646,42210,44686,
21821,41190,39986,40484,43848,
21921,37654,40918,44670,42062,
22021,38251,39545,43409,42375,
22121,39354,41202,42642,41398,
22221,40510,41216,42124,41790,
22321,39131,39399,43043,43663,
22421,38301,38975,42235,43089,
22521,38669,42779,42889,40115,
22621,39134,42178,42324,41780,
22721,39162,40020,42266,43732,
22821,39183,41995,42841,41477,
22921,37378,42732,44188,40870,
23021,40961,39531,40331,43457,
23121,39789,39629,42197,42981,
23221,35086,42366,46160,40200,
23321,41722,41424,39314,40800,
23421,41241,41085,39883,41923,
23521,38124,41738,43142,41308,
23621,39380,40232,42556,44108,
23721,39169,39543,42883,43733,
23821,39347,41783,41841,42901,
23921,39364,41768,42560,41748,
24021,35992,40970,45928,41626,
24121,39261,41871,42555,40297,
24221,42284,39488,39950,42890,
24321,37545,39117,43575,43055,
24421,36952,42536,43816,39912,
24521,40343,41439,41899,41219,
24621,40966,38496,43266,44296,
24721,39008,38236,44774,44102,
24821,39865,42309,42561,40221,
24921,41255,38107,40951,44375,
25021,38983,40975,43427,42435,
25121,40443,41733,42107,41893,
25221,38903,39647,42135,43071,
25321,39298,39322,44924,41096,
25421,40626,41500,43150,40640,
25521,39373,41977,43867,40519,
25621,39222,39328,44372,42422,
25721,39652,40478,43146,41140,
25821,38948,40936,43616,42040,
25921,40168,41170,43220,42082,
26021,37392,39610,44328,44794,
26121,37947,41557,43345,42779,
26221,40479,41149,42081,41683,
26321,38769,40871,44317,41883,
26421,38182,40086,43998,42558,
26521,39901,41751,40729,41475,
26621,38862,40496,42012,42174,
26721,37392,41740,42554,42154,
26821,39519,40197,42131,43681,
26921,38525,40945,42507,43171,
27021,39470,40074,42156,43848,
27121,40375,40677,41155,43437,
27221,38974,42506,42638,41002,
27321,39282,41506,42196,42164,
27421,38753,40665,43439,42343,
27521,37401,40829,44269,42077,
27621,38749,42089,43537,41289,
27721,40065,40937,42925,41941,
27821,38754,39986,44116,43860,
27921,38217,40823,43665,43103,
28021,37760,40296,43964,44760,
28121,38617,39891,43795,42389,
28221,40363,39969,41991,42301,
28321,38909,42399,41895,40353,
28421,38722,40764,42570,42060,
28521,39852,38212,44552,44528,
28621,39550,38754,45302,44302,
28721,40158,43320,42248,38522,
28821,40098,39352,43460,43598,
28921,40231,40209,41047,42237,
29021,42042,42722,40866,40002,
29121,38397,40403,45013,43415,
29221,40001,37823,44387,44441,
29321,42234,42890,41564,39000,
29421,38200,42810,43494,40132,
29521,40075,40703,40753,42649,
29621,39386,40776,42244,40822,
29721,39185,42849,42763,39919,
29821,39972,42560,41032,41592,
29921,37473,38257,43069,45821,
30021,38107,43197,43277,41899,
30121,41536,44308,41974,38686,
30221,39100,41318,41492,42298,
30321,40427,37407,41661,44937,
30421,38428,43982,44630,38560,
30521,40513,42349,43593,39533,
30621,39494,39118,44584,43864,
30721,38882,40868,44680,42722,
30821,40018,41652,44352,41142,
30921,38540,40556,44998,41546,
31021,38118,39598,44582,42414,
31121,37705,42441,42297,40529,
31221,40164,43460,40664,40272,
31321,39571,41097,41903,42621,
31421,35697,41365,42999,42847,
31521,35603,42639,41413,42945,
31621,38018,42784,40188,41774,
31721,40689,43177,39001,41269,
31821,38065,41335,41557,44527,
31921,37395,42053,42931,43549,
32021,39866,42608,41898,41860,
32121,39033,40499,43821,43267,
32221,38466,41076,44922,41292,
32321,41369,44239,41135,38677,
32421,40460,42768,43728,39588,
32521,39174,38312,44262,42548,
32621,39112,39982,41610,41868,
32721,39567,44609,41427,39153,
32821,39019,41293,42441,42511,
32921,38505,40511,42469,43739,
33021,37182,40616,45762,42616,
33121,41367,42575,41163,40939,
33221,40857,40567,41105,43151,
33321,37427,39443,43863,44411,
33421,37460,42962,43920,40586,
33521,39593,39545,42481,44017,
33621,40236,40078,41182,42988,
33721,38911,43195,42189,40837,
33821,39596,41866,43466,42856,
33921,40483,41133,42599,43533,
34021,38994,42316,42422,40972,
34121,39391,41715,42893,42405,
34221,40388,42712,39400,42376,
34321,42270,42658,38102,42954,
34421,39282,43402,39642,43982,
34521,36895,42967,42091,45315,
34621,37058,43290,40264,44224,
34721,39733,43509,35281,45537,
34821,32133,44007,41209,44947,
34921,39567,42155,37535,42067,
35021,37364,43684,39370,43182,
35121,34459,40043,42523,46647,
35221,39391,41265,38597,45443,
35321,38140,44502,38204,44566,
35421,38049,44241,38285,45309,
35521,38200,42576,39764,45480,
35621,37938,41862,40298,47430,
35721,38846,42772,39046,45088,
35821,38599,43591,38709,43313,
35921,38363,43691,38527,43739,
36021,36755,42543,40687,45051,
36121,37817,41447,41589,43691,
36221,39378,42220,40356,40806,
36321,36596,39650,43900,43714,
36421,38143,38047,42731,44763,
36521,38139,40509,42847,42865,
36621,41904,41364,41346,40410,
36721,36768,40022,45982,42908,
36821,39566,38384,43658,44620,
36921,40159,39563,43787,42967,
37021,39472,40430,43126,42808,
37121,36881,39327,46593,44043,
37221,43916,40190,42634,40936,
37321,42643,43589,39349,40995,
37421,39073,43489,43067,40415,
37521,37447,42087,42115,42571,
37621,37000,40870,39714,44528,
37721,37190,44024,38666,42120,
