time,pm.vbat
45595,4.117301940917969
45695,4.122580528259277
45795,4.122580528259277
45895,4.117301940917969
45995,4.122580528259277
46095,4.122580528259277
46195,4.122580528259277
46295,4.117301940917969
46395,4.122580528259277
46495,4.122580528259277
46595,3.55249285697937
46695,3.721407651901245
46795,3.7266862392425537
46895,3.6633431911468506
46995,3.6633431911468506
47095,3.658064603805542
47195,3.668621778488159
47295,3.7319648265838623
47395,3.747800588607788
47495,3.668621778488159
47595,3.4521994590759277
47695,3.5208210945129395
47795,3.594721555709839
47895,3.6633431911468506
47995,3.6739003658294678
48095,3.684457540512085
48195,3.7161290645599365
48295,3.721407651901245
48395,3.737243413925171
48495,3.7319648265838623
48595,3.7161290645599365
48695,3.6897361278533936
48795,3.668621778488159
48895,3.631671667098999
48995,3.605278730392456
49095,3.6263930797576904
49195,3.642228841781616
49295,3.6527860164642334
49395,3.6527860164642334
49495,3.668621778488159
49595,3.6633431911468506
49695,3.668621778488159
49795,3.6633431911468506
49895,3.6527860164642334
49995,3.6527860164642334
50095,3.658064603805542
50195,3.658064603805542
50295,3.6527860164642334
50395,3.658064603805542
50495,3.631671667098999
50595,3.6369502544403076
50695,3.6369502544403076
50795,3.6263930797576904
50895,3.6369502544403076
50995,3.642228841781616
51095,3.6633431911468506
51195,3.631671667098999
51295,3.6263930797576904
51395,3.631671667098999
51495,3.642228841781616
51595,3.642228841781616
51695,3.647507429122925
51795,3.6263930797576904
51895,3.621114492416382
51995,3.621114492416382
52095,3.621114492416382
52195,3.6369502544403076
52295,3.642228841781616
52395,3.6263930797576904
52495,3.642228841781616
52595,3.642228841781616
52695,3.6263930797576904
52795,3.631671667098999
52895,3.6369502544403076
52995,3.6369502544403076
53095,3.621114492416382
53195,3.605278730392456
53295,3.621114492416382
53395,3.6105573177337646
53495,3.6369502544403076
53595,3.631671667098999
53695,3.6263930797576904
53795,3.6263930797576904
53895,3.6263930797576904
53995,3.6369502544403076
54095,3.621114492416382
54195,3.631671667098999
54295,3.631671667098999
54395,3.6263930797576904
54495,3.6158359050750732
54595,3.6158359050750732
54695,3.6158359050750732
54795,3.6105573177337646
54895,3.621114492416382
54995,3.6158359050750732
55095,3.621114492416382
55195,3.6000001430511475
55295,3.594721555709839
55395,3.6000001430511475
55495,3.6263930797576904
55595,3.594721555709839
55695,3.594721555709839
55795,3.5894429683685303
55895,3.5894429683685303
55995,3.568328619003296
56095,3.5630500316619873
56195,3.5894429683685303
56295,3.5894429683685303
56395,3.5736072063446045
56495,3.541935443878174
56595,3.541935443878174
56695,3.5313782691955566
56795,3.526099681854248
56895,3.578885793685913
56995,3.5841643810272217
57095,3.5894429683685303
57195,3.6263930797576904
57295,3.631671667098999
57395,3.6263930797576904
57495,3.5894429683685303
57595,3.605278730392456
57695,3.594721555709839
57795,3.605278730392456
57895,3.5894429683685303
57995,3.578885793685913
