time,motor.m1,motor.m2,motor.m3,motor.m4,
53322,39896,41838,40808,42322,
53422,37172,38350,43258,45188,
53522,38007,39653,41635,43821,
53622,40418,42268,38442,41300,
53722,36803,39015,42093,43445,
53822,39309,38893,40695,43875,
53922,40720,41960,40882,40586,
54022,39612,42296,42198,41066,
54122,38475,40219,43145,43417,
54222,40185,40209,42007,43903,
54322,37163,42897,42573,42947,
54422,40107,41499,40477,42221,
54522,40331,40095,39371,44103,
54622,38985,39801,41385,44297,
54722,38837,40873,41855,44271,
54822,38047,41235,42363,42979,
54922,39974,38858,39862,45202,
55022,39065,39905,40881,42733,
55122,38378,40472,40272,44354,
55222,37725,41347,41399,44093,
55322,37188,40776,43100,43532,
55422,39375,39895,42577,46049,
55522,39814,39642,40874,45738,
55622,39099,42037,41079,42617,
55722,39224,40754,40142,43648,
55822,38412,40090,41148,41722,
55922,35948,39018,43620,44058,
56022,40445,39779,41755,42681,
56122,40928,40854,41850,42520,
56222,39448,41384,41778,41878,
56322,39761,39767,41963,43701,
56422,38029,40167,43119,43637,
56522,35222,40262,44468,44656,
56622,40399,39971,41117,42653,
56722,39854,38836,41912,44034,
56822,37399,41475,43375,41971,
56922,40096,38324,40988,44704,
57022,40528,40294,43028,42734,
57122,40312,40758,44232,42366,
57222,40961,40417,42087,43111,
57322,39547,39335,43723,43411,
57422,38567,38687,43569,43825,
57522,42466,41238,38508,41676,
57622,38489,40499,42343,41965,
57722,38052,36786,42452,45542,
57822,40010,39766,41390,42974,
57922,40127,43295,40299,40591,
58022,39456,40164,41532,43820,
58122,40387,39665,41815,44081,
58222,39685,41549,41821,40885,
58322,38707,41725,41683,40441,
58422,38655,39921,41755,42649,
58522,39585,39713,41059,42695,
58622,39952,41054,42304,42074,
58722,39982,40606,41780,42696,
58822,39883,40119,41281,43149,
58922,38088,41008,42944,42152,
59022,40236,42122,41512,41302,
59122,40023,40071,41183,44559,
59222,39420,40444,40992,43220,
59322,39891,41571,40557,41529,
59422,39613,38187,40161,43899,
59522,38724,39688,39512,41724,
59622,38345,42453,40941,41065,
59722,39425,41279,39949,43511,
59822,39790,41778,39358,44358,
59922,35607,40807,42071,44995,
60022,36887,40697,40165,45983,
60122,37980,42976,39860,43880,
60222,38482,41100,38816,45770,
60322,36541,41353,40257,44957,
60422,36907,40369,39339,45621,
60522,36221,42263,41853,41899,
60622,38024,41492,40336,43472,
60722,38820,41286,39944,44282,
60822,37695,40343,42857,44997,
60922,38432,42276,41844,42984,
61022,39102,39340,41772,45846,
61122,38750,41564,43136,43170,
61222,39391,41137,41533,42399,
61322,37710,38096,42076,45026,
61422,37616,40354,44006,42756,
61522,39183,42551,43373,41441,
61622,40569,41209,41409,42633,
61722,41333,38391,43097,42899,
61822,37481,41979,44089,41035,
61922,37632,42036,42154,42118,
62022,37068,42778,41580,41450,
62122,36785,38209,41545,46857,
62222,37961,39381,40629,45325,
62322,37097,42653,40839,41155,
62422,38302,42216,40390,42332,
62522,36959,40247,40743,44403,
62622,37441,39819,40859,45129,
62722,38218,43024,40320,43634,
62822,39105,45361,37399,42615,
62922,38284,40460,41190,46874,
63022,37261,41423,40375,45977,
63122,38386,41654,38774,44294,
63222,36297,42345,38315,44431,
63322,36199,40891,39239,46447,
63422,38880,42240,37276,46292,
63522,36946,43590,38494,45634,
63622,36273,41503,38731,46581,
63722,37811,42715,36891,48147,
63822,37863,43143,38521,46393,
63922,37444,42786,39244,45834,
64022,37592,37962,38788,47882,
64122,33530,41980,41758,44760,
64222,38224,39840,37788,46612,
64322,36945,40957,39749,46217,
64422,38829,41983,39425,46339,
64522,38089,41875,39195,44601,
64622,37404,41584,40642,46202,
64722,36372,39888,40038,46006,
64822,36790,39520,39484,46770,
64922,35853,41195,41863,45801,
65022,36744,41054,41050,45972,
65122,39752,40576,39124,46180,
65222,37316,41752,39812,45992,
65322,35467,39795,41299,47075,
65422,35004,40644,40700,45136,
65522,36932,41086,38190,45148,
65622,36665,39499,38993,46943,
65722,37003,41985,39523,45537,
65822,34823,42741,42257,46003,
65922,37662,41398,39896,47600,
66022,35948,40360,39714,46910,
66122,37027,41767,39305,46381,
66222,39602,42346,37734,46078,
66322,36057,41689,40819,45967,
66422,36622,39452,39844,47294,
66522,36937,40411,39101,46107,
66622,35331,42243,40443,44495,
66722,34959,40609,40089,45819,
66822,38145,41363,39107,46321,
66922,36874,41794,40460,46488,
67022,38581,41183,40211,47897,
67122,37826,41232,41280,46978,
